year,state,Arbitration Main and Misc,Bail Application,Civil Appeal,Civil Revision,Civil Suit,Cooperative Appeal Cases Main,Cooperative Appeal Cases Misc.,Cooperative Court Cases Main,Cooperative Court Cases Misc.,Criminal Appeal,Criminal Revision,Election Petition,Execution Petition,Industrial Court Main Cases,Industrial Court Misc. Cases,Juvenile Cases,Labour Court Main Cases,Labour Court Misc. Cases,Land Reference,MACP,Marriage Petition,Misc. Civil Appeal,Misc. Civil Application,Misc. Civil Cases,Misc. Criminal Applications,Misc. Execution,Other Tribunals,Pre-litigation,Pre-trial,Sessions Case,Warrant or Summons Criminal Cases
2016,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Orissa,2.6061947,1.0294794,4.3229623,3.0196445,4.666286,0,0,0,0,2.8989072,2.2427862,5.1694918,6.170836,3.7272727,0,2.8560116,0,0,3.3860698,4.3735309,2.7895257,3.5819256,3.1137087,4.628767,4.5818086,10.903416,4.8333335,0,0,2.6979723,5.5829687
2016,Punjab,1.4718548,1.0317026,2.1276827,3.75,2.8818088,0,0,0,0,1.7916083,1.3728199,2.3333335,2.4788599,0,0,1.6022857,0,0,3.3754387,1.8726969,1.3214234,1.8759023,1.8698275,2.28633,1.5829697,2.4181817,0,0,0,2.1450269,1.9009054
2016,Rajasthan,1.367563,1.01763,4.406528,3.5384614,4.1758256,4.5675673,4.5779376,0,4.1951218,2.1932957,1.9911426,1.9823009,4.1237741,8.0424242,22,2.0512822,7.2128205,11.598608,9.8598289,3.3007004,1.6429787,3.0607648,2.7897985,2.5079901,2.2970335,4.0059524,2.5325601,0,0,2.9706073,3.40295
2016,Sikkim,1.5714285,1,1.2857144,0,1.2094065,0,0,0,0,1.3333334,1,0,1.5245901,0,0,1.0581396,0,0,1,1.1081082,0,1,1,1.0549451,1.0054585,0,1.2619047,0,0,1.4507772,1.4059725
2016,Tamil Nadu,1.886202,0,3.6639669,1.5619048,3.5673025,0,0,0,0,2.4973128,1.8941947,4.7777777,3.1198089,5.5809464,0,1.1508876,0,0,7.2421913,2.7866068,2.0474648,4.9047618,2.2016573,3.1419353,1.0661701,0,0,0,0,2.183213,2.3793066
2016,Telangana,2.0903614,1.0021595,4.0572314,0,3.565074,0,0,0,0,2.1040134,1.3798008,0,2.5503561,1.5555556,1,1.7593703,0,0,2.1048689,2.8422656,1.6821287,2.9347472,0,2.65767,1.724194,0,0,0,0,2.463428,2.8679593
2016,Tripura,3.3333333,1,2.5243902,1.8333334,3.3637478,0,0,0,0,1.1915888,1.1320754,0,3.5840337,0,0,1.5555556,1.8000001,0,4.0296297,0,1.6666667,1.4705883,1.549914,1.8324324,1.5273523,2.9302325,0,0,0,3.5584862,3.660816
2016,Uttar Pradesh,3.3835919,1.0058227,4.3437696,2.5389547,4.8468466,0,0,0,0,2.4400475,2.0262685,3.8965516,5.1600742,6.173913,2.2537313,3.6162789,0,7.0000005,11.381333,2.9589295,2.2910788,3.4086761,2.9257507,2.846488,1.7615373,6.4274807,14,0,0,3.9234796,2.6246829
2016,Uttarakhand,5.4285717,1,2.2874744,1.5677749,3.0314693,0,0,0,0,1.9157345,1.5387028,2.2,2.5687943,0,0,1.5,1.75,0,11,2.1369379,1.4728762,1.937107,1.4926133,1.6232238,2.8526373,2.4466019,0,0,0,2.321162,1.6366308
